location,Wrocław,Wrocław,Wrocław,Wrocław
lat,51.09574,51.09574,51.09574,51.09574
lon,17.01806,17.01806,17.01806,17.01806
asl,116.635,116.635,116.635,116.635
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Wrocław Temperature [2 m elevation corrected],Wrocław Precipitation Total,Wrocław Wind Speed [10 m],Wrocław Wind Direction [10 m]
20200601T0000,13.44463,0.0,11.038736,8.325638
20200601T0100,12.224629,0.0,10.738927,7.125
20200601T0200,11.424629,0.0,10.9224,12.680374
20200601T0300,10.61463,0.0,10.084568,12.200455
20200601T0400,9.78463,0.0,9.155017,8.365875
20200601T0500,8.86463,0.0,8.258399,360.0
20200601T0600,9.474629,0.0,8.258399,360.0
20200601T0700,11.70463,0.0,8.935328,10.30484
20200601T0800,14.32463,0.0,7.1928,360.0
20200601T0900,16.83463,0.0,10.084568,12.200455
20200601T1000,18.404629,0.0,15.335942,17.175888
20200601T1100,19.144629,0.0,17.711092,15.708633
20200601T1200,19.77463,0.0,18.091677,13.626984
20200601T1300,20.244629,0.0,18.75615,11.469543
20200601T1400,21.01463,0.0,18.609903,13.240509
20200601T1500,21.114628,0.0,18.996767,14.620865
20200601T1600,20.994629,0.0,19.138203,16.16449
20200601T1700,20.734629,0.0,18.786392,18.178024
20200601T1800,20.284628,0.0,18.028807,18.970398
20200601T1900,19.59463,0.0,16.5961,18.725784
20200601T2000,18.614628,0.0,12.922459,14.322708
20200601T2100,16.814629,0.0,10.709147,5.7105865
20200601T2200,14.99463,0.0,9.889148,4.6354523
20200601T2300,13.554629,0.0,7.730192,1.9749298
20200602T0000,12.934629,0.0,6.179102,352.5686
20200602T0100,12.844629,0.0,5.842608,335.77228
20200602T0200,12.56463,0.0,6.66,323.13013
20200602T0300,11.24463,0.0,8.11974,311.0091
20200602T0400,9.724629,0.0,8.495612,311.1859
20200602T0500,8.95463,0.0,7.348971,313.5312
20200602T0600,10.6046295,0.0,7.6331854,330.7512
20200602T0700,11.91463,0.0,10.4475,340.64102
20200602T0800,13.27463,0.0,9.369556,345.17352
20200602T0900,15.54463,0.0,11.131568,338.9625
20200602T1000,16.964628,0.0,17.0496,360.0
20200602T1100,17.704628,0.0,18.117159,359.15747
20200602T1200,18.284628,0.0,17.848799,360.0
20200602T1300,18.894629,0.0,17.348755,3.5214386
20200602T1400,19.204628,0.0,19.128931,347.125
20200602T1500,18.654629,0.0,18.091677,346.37302
20200602T1600,19.60463,0.0,17.383493,344.89893
20200602T1700,18.564629,0.0,16.337511,335.94266
20200602T1800,18.34463,0.0,13.159189,338.6294
20200602T1900,18.144629,0.4,9.045838,346.37302
20200602T2000,17.914629,0.1,4.824709,6.340164
20200602T2100,17.404629,0.0,2.8692157,68.19859
20200602T2200,16.824629,0.0,4.6600966,120.96376
20200602T2300,15.69463,0.0,4.976763,164.47589
20200603T0000,14.6446295,0.0,5.6449146,199.29004
20200603T0100,14.24463,0.0,3.2408962,260.5377
20200603T0200,12.04463,0.0,4.765508,333.43497
20200603T0300,10.514629,0.0,6.270311,347.73523
20200603T0400,9.714629,0.0,7.0533133,349.11447
20200603T0500,9.32463,0.0,6.6653256,357.7094
20200603T0600,10.674629,0.0,4.824709,353.65985
20200603T0700,12.49463,0.0,5.089565,353.991
20200603T0800,14.08463,0.0,4.066419,328.39252
20200603T0900,15.53463,0.0,6.236264,340.0169
20200603T1000,17.064629,0.0,7.670285,339.67688
20200603T1100,18.01463,0.0,7.387499,334.359
20200603T1200,18.914629,0.0,5.6449146,340.70996
20200603T1300,19.734629,0.0,5.068606,356.98724
20200603T1400,20.074629,0.0,6.791894,25.559967
20200603T1500,20.394629,0.0,6.4378467,24.443954
20200603T1600,20.60463,0.0,6.080693,28.810776
20200603T1700,20.214628,0.0,6.2419515,39.805573
20200603T1800,19.76463,0.0,6.0397053,48.576324
20200603T1900,19.25463,0.0,5.394189,57.094757
20200603T2000,18.84463,0.0,5.7198505,62.241455
20200603T2100,17.474628,0.0,8.424308,71.56504
20200603T2200,15.844629,0.0,7.6285353,77.905235
20200603T2300,14.844629,0.0,6.6812778,85.42608
20200604T0000,13.86463,0.0,6.179102,97.431404
20200604T0100,12.844629,0.0,4.552245,110.556046
20200604T0200,11.884629,0.0,4.057684,113.19859
20200604T0300,10.87463,0.0,4.4097047,115.01689
20200604T0400,10.03463,0.0,4.802594,109.44003
20200604T0500,9.304629,0.0,5.5625954,106.69924
20200604T0600,9.8946295,0.0,4.5600333,96.70984
20200604T0700,12.764629,0.0,6.236264,109.9831
20200604T0800,15.78463,0.0,8.935328,116.56505
20200604T0900,17.92463,0.0,12.199259,121.6075
20200604T1000,19.144629,0.0,12.630843,117.64597
20200604T1100,20.114628,0.0,12.523633,119.29137
20200604T1200,21.10463,0.0,12.523634,128.08878
20200604T1300,22.144629,0.0,12.257295,137.64255
20200604T1400,23.27463,0.0,12.315059,128.85338
20200604T1500,22.92463,0.0,11.5784445,156.9745
20200604T1600,22.27463,0.4,10.817939,170.07376
20200604T1700,21.43463,0.3,7.7256002,180.0
20200604T1800,20.144629,0.1,4.1698194,243.43495
20200604T1900,19.374628,0.0,3.118132,250.0169
20200604T2000,19.234629,0.1,3.4631999,89.99999
20200604T2100,18.60463,0.0,8.424308,108.434944
20200604T2200,16.694628,0.0,10.196545,109.85521
20200604T2300,15.75463,0.0,9.51984,107.92791
20200605T0000,14.95463,0.0,8.855546,111.161255
20200605T0100,14.61463,0.0,7.1482625,116.56505
20200605T0200,13.91463,0.0,6.0397053,131.42366
20200605T0300,13.69463,0.0,6.3936005,180.0
20200605T0400,13.98463,0.0,9.889147,242.74467
20200605T0500,15.1446295,0.1,15.86143,262.27817
20200605T0600,14.974629,0.1,13.180745,284.03625
20200605T0700,15.054629,0.1,12.340963,283.73627
20200605T0800,15.3946295,0.4,10.775213,278.53076
20200605T0900,15.19463,0.2,9.3392105,266.7295
20200605T1000,15.70463,0.5,7.8395867,279.7824
20200605T1100,16.474628,0.0,10.126704,296.56506
20200605T1200,16.114628,0.0,13.583788,295.55997
20200605T1300,15.57463,0.0,16.204477,297.40756
20200605T1400,16.644629,0.4,9.5904,270.0
20200605T1500,16.43463,0.6,10.659329,271.4321
20200605T1600,15.934629,0.6,11.389962,280.7843
20200605T1700,15.25463,0.3,7.5818768,288.43497
20200605T1800,16.204628,0.0,2.0806506,140.19443
20200605T1900,16.68463,0.0,7.730192,178.02507
20200605T2000,16.50463,0.0,8.80733,183.46823
20200605T2100,15.58463,0.0,8.855546,173.08878
20200605T2200,15.07463,0.0,8.855546,158.83875
20200605T2300,13.6446295,0.0,9.985559,170.78897
20200606T0000,12.28463,0.0,12.358204,187.43141
20200606T0100,11.70463,0.0,10.538806,196.14435
20200606T0200,12.474629,0.0,13.656736,200.55605
20200606T0300,13.16463,0.0,19.228842,222.75426
20200606T0400,12.464629,0.0,17.544012,228.07745
20200606T0500,11.75463,0.0,15.561044,231.95296
20200606T0600,12.25463,0.0,14.2791395,233.3439
20200606T0700,13.20463,0.0,18.5507,234.94058
20200606T0800,14.514629,0.0,19.681171,230.49232
20200606T0900,15.91463,0.0,21.011852,230.65948
20200606T1000,17.404629,0.0,20.156818,225.53546
20200606T1100,18.76463,0.0,19.971117,223.91908
20200606T1200,20.064629,0.0,19.476372,220.00626
20200606T1300,21.33463,0.0,16.689913,208.61046
20200606T1400,20.394629,0.2,21.6883,207.8241
20200606T1500,20.43463,0.3,22.07265,209.65912
20200606T1600,20.734629,0.3,21.131414,213.69006
20200606T1700,21.75463,0.2,19.346582,218.29016
20200606T1800,21.034628,0.3,14.712421,227.93567
20200606T1900,20.564629,0.3,12.622413,224.1449
20200606T2000,20.34463,0.0,7.348971,226.46881
20200606T2100,20.00463,0.0,3.0374272,195.25513
20200606T2200,19.054628,0.0,6.874978,125.537674
20200606T2300,18.01463,0.1,9.486234,128.15723
20200607T0000,17.324629,0.5,9.486234,128.15723
20200607T0100,17.17463,0.5,9.448753,139.57391
20200607T0200,16.51463,0.1,8.867559,147.26477
20200607T0300,15.86463,0.0,8.275568,146.82149
20200607T0400,15.65463,0.0,10.971024,150.94539
20200607T0500,15.27463,0.0,9.914233,149.30028
20200607T0600,15.81463,0.0,9.418661,151.26021
20200607T0700,17.064629,0.1,10.144211,156.8014
20200607T0800,18.164629,0.1,10.010403,154.79887
20200607T0900,18.134628,0.5,8.150272,168.69006
20200607T1000,18.42463,0.1,5.694981,169.2157
20200607T1100,19.50463,0.0,2.9784427,153.43495
20200607T1200,20.864628,0.0,4.652476,113.62937
20200607T1300,21.27463,0.1,6.415762,131.63353
20200607T1400,16.904629,0.0,11.115618,315.971
20200607T1500,17.464628,0.0,8.955161,22.750961
20200607T1600,18.52463,0.4,8.154626,38.367477
20200607T1700,19.58463,0.9,5.7198505,27.75853
20200607T1800,19.234629,1.0,4.652476,23.629364
20200607T1900,18.25463,1.7,4.713097,47.29059
20200607T2000,17.664629,1.1,7.3150935,33.111343
20200607T2100,17.09463,0.5,7.996438,1.9091492
20200607T2200,16.374628,1.4,8.172013,340.9744
20200607T2300,15.3546295,2.2,9.946393,352.30396